source_id,dataset_name,provider,download_url,access_date,licence,source_crs,local_file,purpose,limitations,status
irish_peat_soils_map_2024,Irish Peat Soils Map 2024,Trinity College Dublin,https://osf.io/download/jwg6f/,2026-07-26,CC BY 4.0,TM65 Transverse Mercator (legacy Irish Grid),data/raw/irish_peat_soils_map_2024.zip,Primary national peat and bog evidence used to create the project bog-core layer,"National screening map rather than field survey; source processing resolution is 100 m; source archive CRS differs from the catalogue's ITM description",acquired
derived_irish_peat_map_v2,Derived Irish Peat Map version 2,Environmental Protection Agency / University College Dublin,https://eparesearch.epa.ie/safer/iso19115/display?isoID=160,2026-07-26,EPA SAFER download conditions; source article citation required,TM65 Transverse Mercator (legacy Irish Grid),data/raw/derived_irish_peat_map_v2/,Historic comparator for peat-map provenance and quality assurance,"Historic 300 m model; coarse and superseded for the core screen by the 2024 Irish Peat Soils Map",acquired
national_organic_soils_2025,National Organic Soil Map 2025,Environmental Protection Agency,https://gis.epa.ie/GetData/Download,2026-07-26,EPA Geoportal reuse terms; confirm before redistribution,Irish National Grid (per source ReadMe),data/raw/NationalOrganicSoilsMap_28012025/,"Secondary evidence for soils with more than 20% organic matter and peat-map quality assurance","Built from earlier soil and land-cover sources; excludes mapped bare rock and karst; not a cadastral or habitat boundary",acquired
npws_habitat_7110,Active raised bog (EU habitat 7110),National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/habitat-and-species-data/article-17/2019/habitats/bogs-mires-and-fens,2026-07-26,CC BY 4.0,Mixed ITM and TM75 Irish Grid,data/raw/npws_habitat_7110.zip,Independent habitat evidence and alignment quality assurance for mapped raised bog,"Indicative Article 17 habitat mapping with mixed source CRSs; does not by itself represent the full restoration hydrological unit or a legal boundary",acquired
npws_habitat_7120,Degraded raised bogs capable of natural regeneration (EU habitat 7120),National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/habitat-and-species-data/article-17/2019/habitats/bogs-mires-and-fens,2026-07-26,CC BY 4.0,TM75 Irish Grid,data/raw/npws_habitat_7120.zip,Independent evidence for potentially restorable raised-bog habitat,"Indicative Article 17 habitat mapping; coverage and observation dates vary; not a legal boundary",acquired
npws_habitat_7130,Active blanket bog (EU habitat 7130),National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/habitat-and-species-data/article-17/2019/habitats/bogs-mires-and-fens,2026-07-26,CC BY 4.0,TM75 Irish Grid,data/raw/npws_habitat_7130.zip,Independent habitat evidence for blanket-bog quality assurance,"Indicative Article 17 habitat mapping; coverage and observation dates vary; not a legal boundary",acquired
npws_sac_2026_01,Special Areas of Conservation boundaries January 2026,National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/designated-site-data/download-boundary-data,2026-07-26,CC BY 4.0,EPSG:2157,data/raw/npws_sac_itm_2026_01.zip,Statutory designation exclusion used in the screened-bog workflow,"A designation boundary does not mean every location inside it is bog habitat; retain release date and refresh before publication",acquired
npws_nha_2019_06,Natural Heritage Areas boundaries June 2019,National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/designated-site-data/download-boundary-data,2026-07-26,CC BY 4.0,EPSG:2157,data/raw/npws_nha_itm_2019_06.zip,Statutory designation exclusion used in the screened-bog workflow,"2019 release may be outdated; refresh before publication; a designation boundary is not habitat evidence",acquired
npws_spa_2026_02,Special Protection Areas boundaries February 2026,National Parks and Wildlife Service,https://www.npws.ie/maps-and-data/designated-site-data/download-boundary-data,2026-07-26,CC BY 4.0,EPSG:2157,data/raw/npws_spa_itm_2026_02.zip,Designation context and quality assurance,"Not used as an exclusion in the final candidate screen; SPA designation concerns birds and is not evidence that all enclosed land is bog",acquired
lpis_2025_parcels,Anonymous LPIS 2025 parcels,"Department of Agriculture, Food and the Marine",https://opendata.agriculture.gov.ie/dataset/40d859ac-58a8-4082-98d2-4ebf1c7cdd29/resource/bd5a8a3b-cc9f-498d-9f40-dc7006d4efee/download/geo_860-parcels_gpk_2025.zip,2026-06-05,CC BY 4.0,EPSG:2157,data/raw/GEO_860-PARCELS_GPK.gpkg,Agricultural parcel overlay and optional overlap extraction,"Agricultural administrative reference only; not a cadastral ownership layer and not used to subtract land from the final candidate screen",acquired
lpis_2025_subfeatures,Anonymous LPIS 2025 subfeatures,"Department of Agriculture, Food and the Marine",https://opendata.agriculture.gov.ie/dataset/40d859ac-58a8-4082-98d2-4ebf1c7cdd29/resource/779ffa08-4443-46f1-880d-bfbff4dae2d7/download/geo_860-subfeatures_gpk_2025.zip,2026-06-05,CC BY 4.0,EPSG:2157,data/raw/GEO_860-SUBFEATURES.gpkg,Supporting detail for the LPIS agricultural overlay,"Administrative subfeatures rather than ownership boundaries; not used in final title eligibility",acquired
npws_commonage_2012,Commonage GIS Dataset,National Parks and Wildlife Service,https://www.npws.ie/sites/default/files/general/commonage-dec-12.zip,2026-08-03,CC BY 4.0,EPSG:29902,data/raw/npws_commonage_2012.zip,Historic supplementary screen for commonage overlap within final candidates,"Commonage Framework Plan geometry from 2011/2012; historic ecological and agricultural planning data rather than definitive current legal-title evidence",acquired
dafm_private_forest_estate_2025,DAFM Private Forest Estate 2025,"Department of Agriculture, Food and the Marine",https://opendata.agriculture.gov.ie/dataset/6fe25a59-be7c-4fb0-9ad6-11abfbaf6b7b/resource/fcf4fb68-f97d-40e6-8b7a-639a59086702/download/privateforests_2025.zip,2026-08-03,CC BY 4.0,EPSG:2157,data/raw/dafm_private_forest_estate_2025.zip,Current private-forest overlap and open-bog screening for final candidates,"Covers the DAFM private forest estate through 2025; does not necessarily include every wooded area or all public forest",acquired
tailte_cadastral_freehold,High Value Dataset - Cadastral Parcels Freehold,Tailte Éireann,https://data-osi.opendata.arcgis.com/api/download/v1/items/4ed4c7d8775a4c80a3d4d5c73c9a1185/geoPackage?layers=12,2026-08-02,CC BY 4.0,EPSG:2157,data/raw/Cadastral_Parcels_Freehold_-4388988690564004250.gpkg,Primary title-boundary framework for candidate extraction and title-level metrics,"Anonymous reference geometry only; does not supply owner details or prove legal title; generalised boundaries may not satisfy boundary-survey requirements",acquired
tailte_cadastral_leasehold,High Value Dataset - Cadastral Parcels Leasehold,Tailte Éireann,https://data-osi.opendata.arcgis.com/api/download/v1/items/9811f102cba04a01b0873d7e3bc98e70/geoPackage?layers=13,2026-08-02,CC BY 4.0,EPSG:2157,data/raw/Cadastral_Parcels_Leasehold_-3465714256390258246.gpkg,Tenure-complication overlap flag for freehold title candidates,"Used as an overlap flag rather than an exclusion; anonymous reference geometry does not prove current legal tenure or ownership",acquired
tailte_townlands_2019_generalised20m,Townlands - National Statutory Boundaries - 2019 - Generalised 20m,Tailte Éireann,https://data-osi.opendata.arcgis.com/api/download/v1/items/1dc58c98ab004234ad0445e79a0f9af7/geoPackage?layers=0,2026-08-02,CC BY 4.0,EPSG:2157,data/raw/tailte_townlands_2019_generalised20m.gpkg,Candidate location context and townland attribution,"Generalised 20 m administrative boundaries for reference and aggregation; not ownership parcels or survey-accurate boundaries",acquired
copernicus_dem_glo30,Copernicus DEM GLO-30 Public,Copernicus Programme / AWS Public Dataset,https://copernicus-dem-30m.s3.amazonaws.com/,2026-08-02,Copernicus DEM licence; attribution required,EPSG:4326,data/raw/copernicus_dem_glo30_ireland/,National 30 m elevation source for title-level slope screening,"Digital surface model rather than bare-earth terrain; vegetation and structures can bias slope; 30 m results are screening estimates, not survey measurements",acquired
osm_geofabrik_ie_ni_2026_08_02,OpenStreetMap Ireland and Northern Ireland extract 2026-08-02,Geofabrik / OpenStreetMap contributors,https://download.geofabrik.de/europe/ireland-and-northern-ireland-260802.osm.pbf,2026-08-03,ODbL 1.0,EPSG:4326,data/raw/osm_ireland_northern_ireland_2026-08-02.osm.pbf,Vehicle-road and land-access-track proximity screening for final candidates,"Crowdsourced coverage and tagging vary; proximity does not establish road condition, legal access or a usable entrance; extract includes Northern Ireland but only candidate-adjacent features are retained",acquired
